Def Pass Rank,Team,GP,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD,INT,SCK,Week
8, PHI,1,17,29,58.6,178,6.1,178,0,1,3,week 10
9, MIA,1,22,35,62.9,185,5.3,185,1,0,3,week 10
10, SF,1,21,37,56.8,187,5.1,187,1,1,3,week 10
11, AZ,1,25,37,67.6,190,5.1,190,1,1,3,week 10
12, DAL,1,14,20,70,208,10.4,208,3,0,2,week 10
13, LV,1,21,28,75,208,7.4,208,1,0,1,week 10
14, LAR,1,26,37,70.3,220,5.9,220,1,0,2,week 10
15, CHI,1,19,26,73.1,228,8.8,228,1,0,2,week 10
16, LAC,1,19,28,67.9,230,8.2,230,0,0,1,week 10
17, IND,1,24,38,63.2,232,6.1,232,2,0,2,week 10
18, KC,1,29,40,72.5,240,6,240,2,0,5,week 10
19, TB,1,23,33,69.7,244,7.4,244,2,0,3,week 10
20, DEN,1,19,36,52.8,244,6.8,244,2,0,1,week 10
21, TEN,1,21,42,50,248,5.9,248,1,1,6,week 10
22, SEA,1,22,30,73.3,258,8.6,258,2,2,0,week 10
23, GB,1,27,46,58.7,262,5.7,262,3,2,2,week 10
24, NYG,1,22,37,59.5,286,7.7,286,1,1,4,week 10
25, CLE,1,26,33,78.8,296,9,296,3,0,1,week 10
26, MIN,1,29,43,67.4,311,7.2,311,1,2,2,week 10
27, JAX,1,26,35,74.3,331,9.5,331,4,1,0,week 10
28, BUF,1,30,50,60,334,6.7,334,1,2,4,week 10
1, NE,1,9,22,40.9,44,2,44,0,0,4,week 11
2, DAL,1,17,30,56.7,110,3.7,110,0,0,7,week 11
3, WAS,1,19,33,57.6,127,3.8,127,0,2,5,week 11
4, ATL,1,14,21,66.7,128,6.1,128,1,1,4,week 11
5, CHI,1,13,20,65,131,6.6,131,1,0,0,week 11
6, NYG,1,17,26,65.4,165,6.3,165,0,0,0,week 11
7, BAL,1,21,33,63.6,169,5.1,169,0,2,4,week 11
8, IND,1,18,25,72,173,6.9,173,1,0,3,week 11
9, PHI,1,23,32,71.9,185,5.8,185,0,0,4,week 11
10, CLE,1,18,27,66.7,186,6.9,186,1,0,2,week 11
11, NO,1,16,28,57.1,188,6.7,188,2,0,4,week 11
12, HOU,1,15,27,55.6,191,7.1,191,0,0,0,week 11
13, CAR,1,24,33,72.7,193,5.8,193,0,1,3,week 11
14, NYJ,1,23,27,85.2,198,7.3,198,0,0,6,week 11
15, TEN,1,24,39,61.5,215,5.5,215,2,0,1,week 11
16, LV,1,24,31,77.4,226,7.3,226,0,0,3,week 11
17, AZ,1,20,29,69,228,7.9,228,4,0,0,week 11
18, LAR,1,22,28,78.6,235,8.4,235,3,0,4,week 11
19, SF,1,30,44,68.2,247,5.6,247,0,2,3,week 11
20, CIN,1,25,42,59.5,249,5.9,249,1,0,2,week 11
21, KC,1,23,30,76.7,250,8.3,250,2,1,5,week 11
22, DEN,1,23,37,62.2,298,8.1,298,2,0,1,week 11
23, MIN,1,26,30,86.7,307,10.2,307,2,0,0,week 11
24, BUF,1,28,41,68.3,316,7.7,316,3,0,1,week 11
25, GB,1,24,29,82.8,320,11,320,3,1,3,week 11
26, LAC,1,20,34,58.8,322,9.5,322,3,0,1,week 11
27, DET,1,27,44,61.4,324,7.4,324,1,2,2,week 11
28, PIT,1,24,39,61.5,346,8.9,346,4,2,2,week 11
1, KC,1,14,24,58.3,82,3.4,82,1,2,3,week 12
2, CAR,1,19,35,54.3,125,3.6,125,1,0,3,week 12
3, GB,1,16,28,57.1,137,4.9,137,2,0,2,week 12
4, ATL,1,14,23,60.9,138,6,138,2,1,0,week 12
5, IND,1,20,28,71.4,151,5.4,151,0,0,3,week 12
6, DEN,1,11,19,57.9,164,8.6,164,1,0,0,week 12
7, WAS,1,15,25,60,165,6.6,165,1,1,1,week 12
8, NYJ,1,14,25,56,165,6.6,165,1,1,2,week 12
9, MIA,1,26,39,66.7,174,4.5,174,1,2,5,week 12
10, TB,1,23,37,62.2,178,4.8,178,1,1,4,week 12
11, PIT,1,22,34,64.7,180,5.3,180,1,1,3,week 12
12, LAC,1,18,29,62.1,185,6.4,185,2,1,1,week 12
13, SF,1,18,30,60,197,6.6,197,0,0,1,week 12
14, DAL,1,21,35,60,210,6,210,1,0,3,week 12
15, NO,1,26,37,70.3,221,6,221,1,0,1,week 12
16, CLE,1,29,43,67.4,229,5.3,229,2,0,3,week 12
17, BUF,1,23,37,62.2,230,6.2,230,2,0,2,week 12
18, PHI,1,17,25,68,236,9.4,236,3,2,3,week 12
19, DET,1,24,42,57.1,237,5.6,237,2,1,3,week 12
20, AZ,1,35,47,74.5,246,5.2,246,3,0,4,week 12
21, JAX,1,16,32,50,253,7.9,253,1,0,1,week 12
22, NYG,1,21,30,70,261,8.7,261,2,2,0,week 12
23, TEN,1,22,37,59.5,266,7.2,266,1,0,1,week 12
24, HOU,1,23,41,56.1,273,6.7,273,1,0,5,week 12
25, CIN,1,22,34,64.7,281,8.3,281,0,0,1,week 12
26, SEA,1,25,36,69.4,293,8.1,293,3,2,1,week 12
27, BAL,1,29,37,78.4,294,7.9,294,3,0,4,week 12
28, NE,1,31,38,81.6,301,7.9,301,3,1,1,week 12
29, LV,1,27,37,73,307,8.3,307,2,1,3,week 12
30, CHI,1,22,29,75.9,308,10.6,308,3,0,1,week 12
31, LAR,1,27,42,64.3,320,7.6,320,1,1,0,week 12
32, MIN,1,28,39,71.8,364,9.3,364,2,0,3,week 12
1, PHI,1,16,26,61.5,122,4.7,122,1,0,6,week 13
2, HOU,1,12,22,54.5,130,5.9,130,0,1,1,week 13
3, SEA,1,14,26,53.8,148,5.7,148,0,2,4,week 13
4, NYJ,1,21,35,60,159,4.5,159,1,0,2,week 13
5, PIT,1,13,24,54.2,160,6.7,160,1,1,1,week 13
6, IND,1,20,30,66.7,165,5.5,165,3,1,1,week 13
7, DET,1,19,34,55.9,171,5,171,1,0,2,week 13
8, WAS,1,25,31,80.6,182,5.9,182,1,0,4,week 13
9, DEN,1,30,37,81.1,182,4.9,182,0,2,4,week 13
10, CHI,1,18,31,58.1,182,5.9,182,1,0,0,week 13
11, BUF,1,22,36,61.1,182,5.1,182,1,0,1,week 13
12, BAL,1,17,22,77.3,184,8.4,184,0,0,2,week 13
13, ATL,1,16,28,57.1,197,7,197,1,0,0,week 13
14, CLE,1,20,39,51.3,201,5.2,201,1,2,0,week 13
15, DAL,1,21,37,56.8,203,5.5,203,2,3,3,week 13
16, CIN,1,16,27,59.3,211,7.8,211,1,0,2,week 13
17, NE,1,22,33,66.7,223,6.8,223,2,0,2,week 13
18, MIA,1,27,41,65.9,230,5.6,230,2,1,4,week 13
19, TB,1,21,29,72.4,232,8,232,1,0,2,week 13
20, NYG,1,27,41,65.9,246,6,246,2,0,5,week 13
21, LAC,1,16,30,53.3,250,8.3,250,2,1,0,week 13
22, GB,1,20,25,80,254,10.2,254,0,2,0,week 13
23, NO,1,36,54,66.7,274,5.1,274,2,1,1,week 13
24, SF,1,18,34,52.9,275,8.1,275,2,3,3,week 13
25, KC,1,25,31,80.6,279,9,279,2,0,1,week 13
26, LV,1,28,47,59.6,314,6.7,314,1,0,5,week 13
27, JAX,1,31,41,75.6,337,8.2,337,2,0,2,week 13
28, LAR,1,28,39,71.8,348,8.9,348,3,1,4,week 13
29, MIN,1,31,58,53.4,366,6.3,366,0,2,1,week 13
30, TEN,1,30,41,73.2,386,9.4,386,3,0,2,week 13
1, PIT,1,11,17,64.7,94,5.5,94,0,0,2,week 14
2, SEA,1,14,24,58.3,105,4.4,105,1,0,2,week 14
3, LAC,1,10,28,35.7,127,4.5,127,1,0,2,week 14
4, NYJ,1,16,27,59.3,130,4.8,130,1,0,3,week 14
5, LAR,1,11,20,55,137,6.9,137,0,2,0,week 14
6, PHI,1,23,32,71.9,181,5.7,181,2,0,7,week 14
7, NYG,1,21,31,67.7,184,5.9,184,2,0,4,week 14
8, TB,1,17,23,73.9,195,8.5,195,2,0,0,week 14
9, NE,1,28,41,68.3,210,5.1,210,0,1,6,week 14
10, LV,1,22,35,62.9,211,6,211,1,0,4,week 14
11, DAL,1,20,27,74.1,213,7.9,213,1,1,0,week 14
12, KC,1,27,44,61.4,214,4.9,214,4,2,6,week 14
13, AZ,1,24,35,68.6,225,6.4,225,0,1,1,week 14
14, CLE,1,18,33,54.5,227,6.9,227,2,1,2,week 14
15, JAX,1,25,38,65.8,227,6,227,2,1,4,week 14
16, BUF,1,28,47,59.6,233,5,233,0,0,4,week 14
17, CAR,1,21,36,58.3,241,6.7,241,3,2,3,week 14
18, SF,1,34,55,61.8,253,4.6,253,1,2,0,week 14
19, BAL,1,22,31,71,264,8.5,264,1,3,2,week 14
20, CIN,1,26,43,60.5,273,6.3,273,1,1,2,week 14
21, HOU,1,24,39,61.5,277,7.1,277,1,2,1,week 14
22, MIN,1,27,39,69.2,330,8.5,330,3,0,0,week 14
23, DEN,1,28,42,66.7,342,8.1,342,3,3,2,week 14
