Def Rush Rank,Team,GP,ATT,RY,YPC,RYPG,TD,FUM,FL,Week
19, PHI,1,26,134,5.2,134,1,0,0,week 6
20, AZ,1,30,136,4.5,136,1,2,1,week 6
21, DAL,1,39,136,3.5,136,1,1,0,week 6
22, SEA,1,28,144,5.1,144,0,3,1,week 6
23, SF,1,40,168,4.2,168,1,1,0,week 6
24, GB,1,33,179,5.4,179,2,0,0,week 6
25, NYG,1,24,211,8.8,211,1,2,1,week 6
26, CIN,1,34,228,6.7,228,1,0,0,week 6
27, WAS,1,37,238,6.4,238,0,2,1,week 6
28, IND,1,33,243,7.4,243,3,2,1,week 6
1, WAS,1,12,38,3.2,38,0,3,1,week 7
2, CAR,1,16,46,2.9,46,0,1,0,week 7
3, SEA,1,15,53,3.5,53,1,2,1,week 7
4, TEN,1,17,65,3.8,65,0,1,1,week 7
5, CHI,1,19,70,3.7,70,1,1,1,week 7
6, ATL,1,21,78,3.7,78,2,0,0,week 7
7, AZ,1,22,85,3.9,85,0,0,0,week 7
8, MIA,1,23,95,4.1,95,0,0,0,week 7
9, KC,1,21,101,4.8,101,0,1,1,week 7
10, NYJ,1,28,105,3.8,105,1,1,0,week 7
11, CIN,1,29,107,3.7,107,1,1,0,week 7
12, LV,1,23,108,4.7,108,0,0,0,week 7
13, PIT,1,27,111,4.1,111,0,1,0,week 7
14, SF,1,21,112,5.3,112,3,2,1,week 7
15, BAL,1,24,113,4.7,113,2,3,2,week 7
16, DAL,1,25,117,4.7,117,0,4,3,week 7
17, NO,1,29,137,4.7,137,2,2,0,week 7
18, IND,1,35,138,3.9,138,0,1,1,week 7
19, DET,1,32,139,4.3,139,2,2,1,week 7
20, NYG,1,21,142,6.8,142,2,1,1,week 7
21, DEN,1,24,155,6.5,155,1,0,0,week 7
22, CLE,1,44,160,3.6,160,2,1,1,week 7
23, HOU,1,27,164,6.1,164,3,2,0,week 7
24, GB,1,38,166,4.4,166,0,0,0,week 7
25, TB,1,27,173,6.4,173,1,0,0,week 7
26, LAC,1,34,214,6.3,214,2,1,1,week 7
27, JAX,1,39,236,6.1,236,1,0,0,week 7
28, NE,1,45,243,5.4,243,2,5,0,week 7
1, CLE,1,10,36,3.6,36,0,1,1,week 8
2, NO,1,13,38,2.9,38,0,0,0,week 8
3, TEN,1,18,43,2.4,43,0,0,0,week 8
4, BAL,1,15,44,2.9,44,1,1,1,week 8
5, NE,1,15,51,3.4,51,0,0,0,week 8
6, SF,1,21,56,2.7,56,1,0,0,week 8
7, SEA,1,28,78,2.8,78,1,3,2,week 8
8, MIN,1,22,78,3.5,78,0,2,1,week 8
9, MIA,1,19,82,4.3,82,2,0,0,week 8
10, NYG,1,25,87,3.5,87,1,1,1,week 8
11, IND,1,28,96,3.4,96,1,0,0,week 8
12, JAX,1,28,101,3.6,101,2,0,0,week 8
13, DET,1,26,107,4.1,107,1,1,1,week 8
14, LAR,1,23,111,4.8,111,1,1,0,week 8
15, PIT,1,20,111,5.6,111,1,0,0,week 8
16, NYJ,1,34,127,3.7,127,0,1,0,week 8
17, WAS,1,29,135,4.7,135,1,2,2,week 8
18, LV,1,32,136,4.3,136,1,0,0,week 8
19, PHI,1,24,144,6,144,0,2,1,week 8
20, GB,1,27,153,5.7,153,1,1,0,week 8
21, CAR,1,37,167,4.5,167,0,1,0,week 8
22, ATL,1,36,169,4.7,169,3,0,0,week 8
23, CIN,1,44,172,3.9,172,3,1,1,week 8
24, AZ,1,29,173,6,173,3,1,1,week 8
25, DEN,1,32,191,6,191,1,2,0,week 8
26, CHI,1,29,200,6.9,200,4,0,0,week 8
27, BUF,1,31,208,6.7,208,0,0,0,week 8
28, TB,1,33,231,7,231,1,0,0,week 8
29, DAL,1,43,240,5.6,240,2,1,1,week 8
30, HOU,1,45,314,7,314,2,1,1,week 8
1, BAL,1,15,48,3.2,48,0,0,0,week 9
2, LAR,1,20,51,2.6,51,0,0,0,week 9
3, WAS,1,22,56,2.5,56,0,0,0,week 9
4, CIN,1,18,64,3.6,64,1,1,1,week 9
5, TB,1,24,68,2.8,68,0,3,0,week 9
6, IND,1,28,70,2.5,70,0,2,1,week 9
7, JAX,1,19,73,3.8,73,0,1,1,week 9
8, CHI,1,23,77,3.3,77,1,1,0,week 9
9, TEN,1,19,77,4.1,77,1,0,0,week 9
10, NE,1,22,78,3.5,78,0,0,0,week 9
11, ATL,1,24,91,3.8,91,1,1,1,week 9
12, DET,1,25,106,4.2,106,0,2,0,week 9
13, GB,1,31,117,3.8,117,0,1,0,week 9
14, SEA,1,21,122,5.8,122,0,3,1,week 9
15, NYJ,1,22,134,6.1,134,2,2,0,week 9
16, MIN,1,30,137,4.6,137,0,0,0,week 9
17, HOU,1,31,143,4.6,143,2,2,1,week 9
18, AZ,1,34,158,4.6,158,2,1,0,week 9
19, LV,1,37,168,4.5,168,2,1,1,week 9
20, PHI,1,32,168,5.3,168,0,0,0,week 9
21, KC,1,29,172,5.9,172,2,0,0,week 9
22, BUF,1,34,174,5.1,174,1,2,1,week 9
23, NO,1,40,188,4.7,188,2,1,0,week 9
24, LAC,1,35,201,5.7,201,2,2,2,week 9
25, CAR,1,39,241,6.2,241,5,1,0,week 9
26, MIA,1,40,252,6.3,252,1,0,0,week 9
1, PIT,1,15,29,1.9,29,0,2,0,week 10
