Def Rec Rank,Team,GP,REC,RY,YP,RYPG,TD,FUM,FL,Week
27, BAL,1,29,294,7.9,294,3,2,1,week 12
28, NE,1,31,301,7.9,301,3,0,0,week 12
29, LV,1,27,307,8.3,307,2,1,1,week 12
30, CHI,1,22,308,10.6,308,3,2,0,week 12
31, LAR,1,27,320,7.6,320,1,1,1,week 12
32, MIN,1,28,364,9.3,364,2,1,0,week 12
1, PHI,1,16,122,4.7,122,1,0,0,week 13
2, HOU,1,12,130,5.9,130,0,1,1,week 13
3, SEA,1,14,148,5.7,148,0,1,0,week 13
4, NYJ,1,21,159,4.5,159,1,0,0,week 13
5, PIT,1,13,160,6.7,160,1,0,0,week 13
6, IND,1,20,165,5.5,165,3,0,0,week 13
7, DET,1,19,171,5,171,1,1,1,week 13
8, CHI,1,18,182,5.9,182,1,0,0,week 13
9, BUF,1,22,182,5.1,182,1,2,0,week 13
10, WAS,1,25,182,5.9,182,1,2,1,week 13
11, DEN,1,30,182,4.9,182,0,1,0,week 13
12, BAL,1,17,184,8.4,184,0,0,0,week 13
13, ATL,1,16,197,7,197,1,1,0,week 13
14, CLE,1,20,201,5.2,201,1,3,2,week 13
15, DAL,1,21,203,5.5,203,2,2,2,week 13
16, CIN,1,16,211,7.8,211,1,1,1,week 13
17, NE,1,22,223,6.8,223,2,1,1,week 13
18, MIA,1,27,230,5.6,230,2,1,0,week 13
19, TB,1,21,232,8,232,1,2,0,week 13
20, NYG,1,27,246,6,246,2,3,1,week 13
21, LAC,1,16,250,8.3,250,2,1,1,week 13
22, GB,1,20,254,10.2,254,0,1,1,week 13
23, NO,1,36,274,5.1,274,2,1,1,week 13
24, SF,1,18,275,8.1,275,2,1,1,week 13
25, KC,1,25,279,9,279,2,0,0,week 13
26, LV,1,28,314,6.7,314,1,3,1,week 13
27, JAX,1,31,337,8.2,337,2,0,0,week 13
28, LAR,1,28,348,8.9,348,3,1,1,week 13
29, MIN,1,31,366,6.3,366,0,0,0,week 13
30, TEN,1,30,386,9.4,386,3,1,0,week 13
1, PIT,1,11,94,5.5,94,0,2,0,week 14
2, SEA,1,14,105,4.4,105,1,1,0,week 14
3, LAC,1,10,127,4.5,127,1,1,0,week 14
4, NYJ,1,16,130,4.8,130,1,0,0,week 14
5, LAR,1,11,137,6.8,137,0,0,0,week 14
6, PHI,1,23,181,5.7,181,2,1,1,week 14
7, NYG,1,21,184,5.9,184,2,0,0,week 14
8, TB,1,17,195,8.5,195,2,1,1,week 14
9, NE,1,28,210,5.1,210,0,2,1,week 14
10, LV,1,22,211,6,211,1,1,1,week 14
11, DAL,1,20,213,7.9,213,1,1,1,week 14
12, KC,1,27,214,4.9,214,4,1,0,week 14
13, AZ,1,24,225,6.4,225,0,1,0,week 14
14, CLE,1,18,227,6.9,227,2,0,0,week 14
15, JAX,1,25,227,6,227,2,4,3,week 14
16, BUF,1,28,233,5,233,0,3,2,week 14
17, CAR,1,21,241,6.7,241,3,0,0,week 14
18, SF,1,34,253,4.6,253,1,2,1,week 14
19, BAL,1,22,264,8.5,264,1,0,0,week 14
20, CIN,1,26,273,6.3,273,1,0,0,week 14
21, HOU,1,24,277,7.1,277,1,2,1,week 14
22, MIN,1,27,330,8.5,330,3,0,0,week 14
23, DEN,1,28,342,8.1,342,3,0,0,week 14
24, MIA,1,39,350,6.9,350,1,1,0,week 14
25, TEN,1,30,368,8.8,368,3,0,0,week 14
26, DET,1,31,394,9.6,394,2,2,2,week 14
1, GB,1,12,84,4,84,1,1,0,week 15
2, NO,1,13,89,3.4,89,0,1,1,week 15
3, PHI,1,14,91,4.1,91,2,4,1,week 15
4, LV,1,13,112,3.6,112,0,1,1,week 15
5, KC,1,14,125,4.3,125,2,1,1,week 15
6, CLE,1,17,126,4.2,126,0,4,1,week 15
7, BAL,1,18,140,5,140,1,0,0,week 15
8, AZ,1,21,156,6,156,1,3,1,week 15
9, LAC,1,18,157,6,157,0,2,0,week 15
10, WAS,1,21,160,5,160,0,1,0,week 15
11, DEN,1,20,167,4.6,167,0,0,0,week 15
12, CAR,1,17,169,7.7,169,0,0,0,week 15
13, MIN,1,19,170,5.2,170,1,3,1,week 15
14, TB,1,27,184,4.7,184,4,1,0,week 15
15, PIT,1,14,188,8.2,188,1,1,0,week 15
16, SF,1,31,207,4.7,207,1,2,1,week 15
17, LAR,1,22,207,6.9,207,1,3,1,week 15
18, SEA,1,17,211,8.1,211,2,0,0,week 15
19, NE,1,20,211,5.6,211,3,2,0,week 15
20, ATL,1,13,214,11.3,214,3,2,1,week 15
21, BUF,1,17,217,7.2,217,2,1,0,week 15
22, NYG,1,17,228,7.9,228,1,4,2,week 15
23, JAX,1,23,243,8.1,243,3,0,0,week 15
24, NYJ,1,23,252,6.6,252,1,0,0,week 15
25, DET,1,18,287,8.2,287,2,1,0,week 15
26, TEN,1,28,291,6.9,291,0,0,0,week 15
27, MIA,1,25,296,7.4,296,4,2,1,week 15
28, CIN,1,30,304,6.9,304,3,3,2,week 15
29, CHI,1,22,309,8.4,309,0,1,1,week 15
30, DAL,1,27,311,7.4,311,4,2,2,week 15
31, HOU,1,36,313,7.6,313,2,3,2,week 15
32, IND,1,34,426,7.7,426,4,1,1,week 15
1, HOU,1,14,88,3.8,88,0,2,1,week 16
2, CLE,1,8,92,6.1,92,0,2,0,week 16
3, LAC,1,17,104,3.6,104,0,0,0,week 16
4, ATL,1,9,115,6.8,115,1,1,0,week 16
5, NO,1,15,125,4,125,0,0,0,week 16
6, BUF,1,18,129,4.6,129,1,3,1,week 16
7, PIT,1,16,143,4.8,143,1,0,0,week 16
8, JAX,1,19,161,4.9,161,0,2,1,week 16
9, CHI,1,15,172,6.6,172,2,3,1,week 16
10, KC,1,25,200,5,200,1,1,0,week 16
11, TB,1,25,204,4.4,204,0,2,2,week 16
12, BAL,1,22,212,6.4,212,0,2,1,week 16
13, IND,1,24,213,6.9,213,0,2,1,week 16
14, TEN,1,20,215,6.7,215,1,2,0,week 16
15, NYJ,1,20,218,7,218,0,1,1,week 16
16, WAS,1,15,218,9.9,218,2,0,0,week 16
17, LAR,1,19,219,6.3,219,1,0,0,week 16
18, SEA,1,16,220,7.9,220,2,0,0,week 16
19, MIA,1,24,222,5.8,222,1,1,0,week 16
20, CIN,1,21,224,6.8,224,2,4,1,week 16
21, DEN,1,24,230,8.2,230,2,1,0,week 16
22, LV,1,26,244,6.3,244,1,0,0,week 16
23, DET,1,15,250,11.4,250,1,1,0,week 16
24, SF,1,25,270,7.9,270,3,2,1,week 16
25, NYG,1,34,270,5.6,270,3,0,0,week 16
26, AZ,1,32,281,5.9,281,1,0,0,week 16
27, GB,1,16,294,11.8,294,1,3,1,week 16
28, PHI,1,27,304,8.7,304,3,1,0,week 16
29, MIN,1,30,319,7.6,319,1,2,1,week 16
30, CAR,1,25,336,8,336,3,1,1,week 16
31, DAL,1,24,355,8.9,355,2,3,2,week 16
32, NE,1,40,369,7.1,369,3,1,1,week 16
1, DET,1,7,30,1.4,30,1,1,1,week 17
2, LAC,1,11,111,5.8,111,0,1,1,week 17
3, PIT,1,14,120,5.7,120,1,0,0,week 17
4, CLE,1,16,124,4.4,124,0,0,0,week 17
5, NYG,1,17,124,4.6,124,1,0,0,week 17
6, NYJ,1,18,148,5.1,148,2,2,0,week 17
7, MIN,1,17,152,5.6,152,1,0,0,week 17
8, BAL,1,15,153,5.7,153,1,0,0,week 17
9, WAS,1,9,155,8.6,155,3,0,0,week 17
10, AZ,1,19,166,6.4,166,0,1,1,week 17
11, HOU,1,22,168,5.8,168,0,1,0,week 17
12, MIA,1,20,172,5.2,172,2,0,0,week 17
13, IND,1,19,177,7.4,177,2,1,1,week 17
14, PHI,1,20,183,7.6,183,0,0,0,week 17
15, KC,1,26,190,5,190,1,1,1,week 17
16, JAX,1,25,193,4.4,193,0,1,1,week 17
17, SEA,1,23,204,4.4,204,0,1,1,week 17
18, ATL,1,24,213,5.3,213,1,0,0,week 17
19, DAL,1,20,220,5.6,220,1,2,1,week 17
20, CHI,1,21,239,8.2,239,3,0,0,week 17
